image,predicted,ground_truth,correct,detected,matched
c100bg1.png,unh_72%E2%98%85_blast-from-the-past,7ed_205%E2%98%85_orcish-artillery,0,0,1
c100bg2.png,unh_72%E2%98%85_blast-from-the-past,7ed_205%E2%98%85_orcish-artillery,0,0,1
c100bg3.png,unh_72%E2%98%85_blast-from-the-past,7ed_205%E2%98%85_orcish-artillery,0,0,1
c100bg4.png,unh_72%E2%98%85_blast-from-the-past,7ed_205%E2%98%85_orcish-artillery,0,0,1
c100bg5.png,unh_72%E2%98%85_blast-from-the-past,7ed_205%E2%98%85_orcish-artillery,0,0,1
c100bg6.png,unh_72%E2%98%85_blast-from-the-past,7ed_205%E2%98%85_orcish-artillery,0,0,1
c100bg7.png,unh_72%E2%98%85_blast-from-the-past,7ed_205%E2%98%85_orcish-artillery,0,0,1
c100bg8.png,unh_72%E2%98%85_blast-from-the-past,7ed_205%E2%98%85_orcish-artillery,0,0,1
c10bg1.png,sld_1957_heat-shimmer,tfin_20_darkstar,0,0,1
c10bg2.png,sld_1957_heat-shimmer,tfin_20_darkstar,0,0,1
c10bg3.png,sld_1957_heat-shimmer,tfin_20_darkstar,0,0,1
c10bg4.png,sld_1957_heat-shimmer,tfin_20_darkstar,0,0,1
c10bg5.png,sld_1957_heat-shimmer,tfin_20_darkstar,0,0,1
c10bg6.png,sld_1957_heat-shimmer,tfin_20_darkstar,0,0,1
c10bg7.png,sld_1957_heat-shimmer,tfin_20_darkstar,0,0,1
c10bg8.png,No match,tfin_20_darkstar,0,0,0
c11bg1.png,c18_295_plains,l12_2_knight,0,0,1
c11bg2.png,c18_295_plains,l12_2_knight,0,0,1
c11bg3.png,c18_295_plains,l12_2_knight,0,0,1
c11bg4.png,c18_295_plains,l12_2_knight,0,0,1
c11bg5.png,c18_295_plains,l12_2_knight,0,0,1
c11bg6.png,c18_295_plains,l12_2_knight,0,0,1
c11bg7.png,c18_295_plains,l12_2_knight,0,0,1
c11bg8.png,c18_295_plains,l12_2_knight,0,0,1
c12bg1.png,tsr_368_thragtusk,dmr_338_elvish-spirit-guide,0,0,1
c12bg2.png,tsr_368_thragtusk,dmr_338_elvish-spirit-guide,0,0,1
c12bg3.png,tsr_368_thragtusk,dmr_338_elvish-spirit-guide,0,0,1
c12bg4.png,tsr_368_thragtusk,dmr_338_elvish-spirit-guide,0,0,1
c12bg5.png,tsr_368_thragtusk,dmr_338_elvish-spirit-guide,0,0,1
c12bg6.png,tsr_368_thragtusk,dmr_338_elvish-spirit-guide,0,0,1
c12bg7.png,tsr_368_thragtusk,dmr_338_elvish-spirit-guide,0,0,1
c12bg8.png,tsr_368_thragtusk,dmr_338_elvish-spirit-guide,0,0,1
c13bg1.png,macr_1_into-the-story:-assassin-edition-story-beats,dft_539_burnout-bashtronaut,0,0,1
c13bg2.png,No match,dft_539_burnout-bashtronaut,0,0,0
c13bg3.png,macr_1_into-the-story:-assassin-edition-story-beats,dft_539_burnout-bashtronaut,0,0,1
c13bg4.png,macr_1_into-the-story:-assassin-edition-story-beats,dft_539_burnout-bashtronaut,0,0,1
c13bg5.png,macr_1_into-the-story:-assassin-edition-story-beats,dft_539_burnout-bashtronaut,0,0,1
c13bg6.png,No match,dft_539_burnout-bashtronaut,0,0,0
c13bg7.png,dft_539_burnout-bashtronaut,dft_539_burnout-bashtronaut,1,0,1
c13bg8.png,dft_539_burnout-bashtronaut,dft_539_burnout-bashtronaut,1,0,1
c14bg1.png,ltc_526_diabolic-intent,lcc_105_chalice-of-the-void,0,0,1
c14bg2.png,lcc_105_chalice-of-the-void,lcc_105_chalice-of-the-void,1,0,1
c14bg3.png,ltc_526_diabolic-intent,lcc_105_chalice-of-the-void,0,0,1
c14bg4.png,lcc_105_chalice-of-the-void,lcc_105_chalice-of-the-void,1,0,1
c14bg5.png,ltc_526_diabolic-intent,lcc_105_chalice-of-the-void,0,0,1
c14bg6.png,ltc_526_diabolic-intent,lcc_105_chalice-of-the-void,0,0,1
c14bg7.png,lcc_105_chalice-of-the-void,lcc_105_chalice-of-the-void,1,0,1
c14bg8.png,ltc_526_diabolic-intent,lcc_105_chalice-of-the-void,0,0,1
c15bg1.png,pip_831_temple-of-deceit,pip_831_temple-of-deceit,1,0,1
